,d,Geographic Area N,Total,Male,Female,Total Under 18 year,Male Under 18 year,Female Under 18 year,Total 60 years and over,Male 60 years and over,Female 60 years and over,Median age (years),Sex ratio (males per 100 females),Age dependency ratio,Old-age dependency ratio,Child dependency ratio,county_state_name,full_county_fips,percent_under18,percent_over60,COUNTYFIPS,hospital_bed_count,hospital_count
125,0500000US04025,"Yavapai County, Arizona",231993,113011,118982,37293,19260,18033,95141,44962,50179,54.4,95.0,91.7,60.9,30.8,"Yavapai County, Arizona",04025,16.075053988697935,41.01028910355054,04025,332.0,4.0
126,0500000US13097,"Douglas County, Georgia",145331,69386,75945,37435,18861,18574,25119,11736,13383,36.8,91.4,60.4,19.1,41.3,"Douglas County, Georgia",13097,25.758441075888832,17.283993091632205,13097,192.0,2.0
127,0500000US13135,"Gwinnett County, Georgia",927781,452307,475474,248878,126103,122775,143352,64447,78905,35.5,95.1,58.5,16.0,42.5,"Gwinnett County, Georgia",13135,26.825080487744412,15.451060110090637,13135,847.0,5.0
128,0500000US15007,"Kauai County, Hawaii",72133,36483,35650,15680,8795,6885,20975,9761,11214,42.0,102.3,72.8,35.2,37.6,"Kauai County, Hawaii",15007,21.737623556485936,29.078230490898754,15007,144.0,2.0
129,0500000US16027,"Canyon County, Idaho",223499,110799,112700,62419,31815,30604,43574,19865,23709,34.4,98.3,73.1,24.7,48.3,"Canyon County, Idaho",16027,27.928089163709906,19.496284099705143,16027,302.0,2.0
130,0500000US18019,"Clark County, Indiana",117360,56839,60521,26544,13461,13083,26825,11848,14977,39.1,93.9,62.0,25.3,36.6,"Clark County, Indiana",18019,22.61758691206544,22.85702113156101,18019,442.0,4.0
131,0500000US19013,"Black Hawk County, Iowa",132408,65131,67277,28788,14714,14074,29365,13468,15897,35.2,96.8,60.7,25.7,34.9,"Black Hawk County, Iowa",19013,21.741888707630956,22.177662981088755,19013,459.0,3.0
132,0500000US21015,"Boone County, Kentucky",131533,65940,65593,33654,18311,15343,24630,11291,13339,38.2,100.5,63.4,21.6,41.8,"Boone County, Kentucky",21015,25.58597462233812,18.725338888339806,21015,201.0,2.0
133,0500000US22051,"Jefferson Parish, Louisiana",434051,209971,224080,95532,48334,47198,104642,45265,59377,39.7,93.7,64.2,28.1,36.1,"Jefferson Parish, Louisiana",22051,22.009395209318722,24.108226913427224,22051,1628.0,9.0
134,0500000US23031,"York County, Maine",206229,100163,106066,38788,20189,18599,59689,26684,33005,45.8,94.4,64.8,33.8,31.0,"York County, Maine",23031,18.808218048868007,28.943068142695743,23031,294.0,4.0
135,0500000US24027,"Howard County, Maryland",323196,157591,165605,78570,40185,38385,63880,29028,34852,39.2,95.2,61.7,22.4,39.3,"Howard County, Maryland",24027,24.310325622841866,19.765096102674537,24027,581.0,3.0
136,0500000US24031,"Montgomery County, Maryland",1052567,509380,543187,244087,124627,119460,229016,102506,126510,39.2,93.8,63.2,25.4,37.9,"Montgomery County, Maryland",24031,23.189687687339617,21.757854844394704,24031,1492.0,8.0
137,0500000US27053,"Hennepin County, Minnesota",1259428,623320,636108,276542,140502,136040,251746,113667,138079,36.5,98.0,56.3,21.9,34.3,"Hennepin County, Minnesota",27053,21.957745897343877,19.98891560295626,27053,4668.0,11.0
138,0500000US28067,"Jones County, Mississippi",68461,32862,35599,17031,8021,9010,17432,7827,9605,37.6,92.3,73.1,30.0,43.1,"Jones County, Mississippi",28067,24.8769372343378,25.462672178320506,28067,310.0,2.0
139,0500000US29510,"St. Louis city, Missouri",302838,146922,155916,57502,29155,28347,63541,28763,34778,36.4,94.2,48.7,20.5,28.2,"St. Louis city, Missouri",29510,18.987709600512485,20.981845078887062,29510,4324.0,12.0
140,0500000US34013,"Essex County, New Jersey",799767,384965,414802,188978,96383,92595,156065,66930,89135,37.8,92.8,59.2,21.6,37.6,"Essex County, New Jersey",34013,23.62913198469054,19.513808396695538,34013,4447.0,13.0
141,0500000US34021,"Mercer County, New Jersey",369811,180597,189214,78695,39943,38752,79032,35254,43778,38.9,95.4,57.3,23.8,33.5,"Mercer County, New Jersey",34021,21.279788865122995,21.370916495182673,34021,2058.0,10.0
142,0500000US36113,"Warren County, New York",64265,31907,32358,11357,5961,5396,20637,9896,10741,47.1,98.6,66.7,37.3,29.5,"Warren County, New York",36113,17.67213880028009,32.11234731191161,36113,410.0,1.0
143,0500000US36117,"Wayne County, New York",90064,44790,45274,19313,9879,9434,24219,11198,13021,44.0,98.9,68.5,32.3,36.1,"Wayne County, New York",36117,21.443640078166638,26.890877598152425,36117,120.0,1.0
144,0500000US37129,"New Hanover County, North Carolina",232274,112021,120253,41986,22490,19496,55769,24835,30934,39.3,93.2,56.1,27.9,28.2,"New Hanover County, North Carolina",37129,18.076065336628293,24.010005424627813,37129,769.0,1.0
145,0500000US39081,"Jefferson County, Ohio",65767,32354,33413,12485,6829,5656,19825,8897,10928,45.2,96.8,69.4,37.2,32.2,"Jefferson County, Ohio",39081,18.983684826736813,30.14429729195493,39081,560.0,4.0
146,0500000US42085,"Mercer County, Pennsylvania",110683,55089,55594,21247,11257,9990,32407,14501,17906,44.8,99.1,69.1,36.7,32.5,"Mercer County, Pennsylvania",42085,19.196263202117763,29.279112420154856,42085,521.0,4.0
147,0500000US42111,"Somerset County, Pennsylvania",73952,38433,35519,13094,6724,6370,22637,10543,12094,46.8,108.2,66.8,37.3,29.5,"Somerset County, Pennsylvania",42111,17.70607961921246,30.610395932496754,42111,224.0,3.0
148,0500000US51800,"Suffolk city, Virginia",91185,44445,46740,22080,11792,10288,19483,9027,10456,38.8,95.1,62.9,23.5,39.5,"Suffolk city, Virginia",51800,24.214508965290342,21.36645281570434,51800,150.0,1.0
149,0500000US53033,"King County, Washington",2233163,1121145,1112018,452860,230598,222262,420770,191334,229436,36.8,100.8,50.3,19.9,30.5,"King County, Washington",53033,20.278860074253423,18.841884806438223,53033,5461.0,26.0
150,0500000US54033,"Harrison County, West Virginia",67554,33013,34541,14002,7444,6558,19181,8800,10381,42.9,95.6,67.7,32.9,34.8,"Harrison County, West Virginia",54033,20.727122006098824,28.393581431151375,54033,292.0,1.0
151,0500000US06111,"Ventura County, California",850967,420907,430060,194458,98815,95643,183056,83799,99257,38.4,97.9,62.3,25.2,37.1,"Ventura County, California",06111,22.851414919732495,21.51152747403836,06111,1690.0,13.0
152,0500000US09005,"Litchfield County, Connecticut",181111,89654,91457,33007,17077,15930,54354,25908,28446,47.6,98.0,64.3,34.4,30.0,"Litchfield County, Connecticut",09005,18.224735107199454,30.011429454864697,09005,272.0,3.0
153,0500000US09007,"Middlesex County, Connecticut",162682,78396,84286,28778,14229,14549,46246,20896,25350,45.6,93.0,60.3,32.0,28.4,"Middlesex County, Connecticut",09007,17.689725968453793,28.427238416050947,09007,215.0,1.0
154,0500000US12023,"Columbia County, Florida",70503,35555,34948,15313,7153,8160,18109,8132,9977,40.7,101.7,67.0,30.7,36.3,"Columbia County, Florida",12023,21.71964313575309,25.685431825596073,12023,346.0,3.0
155,0500000US13047,"Catoosa County, Georgia",67420,33441,33979,14028,8524,5504,16359,7694,8665,41.4,98.4,63.2,29.2,33.9,"Catoosa County, Georgia",13047,20.806882230792052,24.26431326016019,13047,185.0,1.0
156,0500000US13247,"Rockdale County, Georgia",90594,42762,47832,22317,11717,10600,18996,8405,10591,38.2,89.4,63.3,23.1,40.2,"Rockdale County, Georgia",13247,24.634081727266707,20.968276044771176,13247,146.0,1.0
157,0500000US13297,"Walton County, Georgia",93503,44927,48576,23405,11746,11659,18805,8060,10745,38.2,92.5,66.9,25.1,41.8,"Walton County, Georgia",13297,25.03128241874592,20.111654171523906,13297,192.0,2.0
158,0500000US16005,"Bannock County, Idaho",87138,43519,43619,22544,11133,11411,16930,8522,8408,33.6,99.8,66.8,23.6,43.1,"Bannock County, Idaho",16005,25.871605958364892,19.428951777640066,16005,219.0,2.0
159,0500000US24003,"Anne Arundel County, Maryland",576031,285544,290487,127974,65036,62938,121105,55296,65809,38.2,98.3,58.6,23.3,35.2,"Anne Arundel County, Maryland",24003,22.216512652964855,21.02404210884484,24003,673.0,2.0
160,0500000US28033,"DeSoto County, Mississippi",182001,87944,94057,46708,24230,22478,34610,15083,19527,37.4,93.5,62.0,20.5,41.6,"DeSoto County, Mississippi",28033,25.663595254971128,19.016379030884444,28033,514.0,3.0
161,0500000US29097,"Jasper County, Missouri",120636,59060,61576,30076,15742,14334,24457,10657,13800,35.9,95.9,67.9,26.0,41.9,"Jasper County, Missouri",29097,24.931197984018038,20.273384396034352,29097,366.0,2.0
162,0500000US30029,"Flathead County, Montana",102106,51056,51050,22476,11674,10802,28598,14140,14458,41.5,100.0,71.1,33.4,37.7,"Flathead County, Montana",30029,22.01241846708323,28.0081483948054,30029,231.0,3.0
163,0500000US35001,"Bernalillo County, New Mexico",678701,333250,345451,147370,75621,71749,153101,68628,84473,37.8,96.5,61.6,26.5,35.1,"Bernalillo County, New Mexico",35001,21.7135380675732,22.55794525129623,35001,2020.0,16.0
164,0500000US36005,"Bronx County, New York",1432132,673951,758181,355049,180348,174701,258173,104335,153838,34.4,88.9,60.2,20.5,39.7,"Bronx County, New York",36005,24.79163931816341,18.027179058913564,36005,3822.0,10.0
165,0500000US37019,"Brunswick County, North Carolina",136744,65320,71424,20910,10592,10318,57841,26759,31082,54.7,91.5,89.5,60.5,29.0,"Brunswick County, North Carolina",37019,15.291347335166442,42.298748025507514,37019,160.0,2.0
166,0500000US37021,"Buncombe County, North Carolina",259103,123775,135328,47576,23828,23748,70645,31477,39168,42.5,91.5,62.2,32.4,29.8,"Buncombe County, North Carolina",37021,18.361809782210166,27.265218851190454,37021,877.0,3.0
167,0500000US37127,"Nash County, North Carolina",94016,45889,48127,20421,10984,9437,24766,10709,14057,41.8,95.3,67.4,31.1,36.4,"Nash County, North Carolina",37127,21.720770932607216,26.342324710687542,37127,403.0,2.0
168,0500000US37193,"Wilkes County, North Carolina",68557,33260,35297,14044,6915,7129,20609,9028,11581,45.4,94.2,72.2,36.9,35.3,"Wilkes County, North Carolina",37193,20.485143748997185,30.061117026707702,37193,130.0,1.0
169,0500000US39035,"Cuyahoga County, Ohio",1243857,593150,650707,257827,131262,126565,315328,137339,177989,40.4,91.2,63.7,29.8,33.9,"Cuyahoga County, Ohio",39035,20.728025810040865,25.35082408990744,39035,8368.0,26.0
170,0500000US39061,"Hamilton County, Ohio",816684,394206,422478,187275,94953,92322,176569,77747,98822,36.6,93.3,61.9,24.8,37.1,"Hamilton County, Ohio",39061,22.931145951187975,21.620234999093896,39061,5287.0,20.0
171,0500000US39165,"Warren County, Ohio",232173,117267,114906,56555,29079,27476,45673,20887,24786,39.2,102.1,63.2,23.5,39.8,"Warren County, Ohio",39165,24.358990924870678,19.67196874744264,39165,378.0,3.0
172,0500000US40017,"Canadian County, Oklahoma",144447,70792,73655,37771,18848,18923,26979,12193,14786,35.7,96.1,64.4,21.4,43.0,"Canadian County, Oklahoma",40017,26.14869121546311,18.67743878377536,40017,123.0,2.0
173,0500000US42029,"Chester County, Pennsylvania",522046,257619,264427,118708,60752,57956,120917,56323,64594,40.6,97.4,64.1,26.8,37.3,"Chester County, Pennsylvania",42029,22.738992349333202,23.162135137516618,42029,1286.0,10.0
174,0500000US42077,"Lehigh County, Pennsylvania",368100,180300,187800,83219,43030,40189,85724,38008,47716,38.5,96.0,65.4,28.0,37.4,"Lehigh County, Pennsylvania",42077,22.607715294756858,23.288236892148873,42077,1937.0,9.0
175,0500000US45063,"Lexington County, South Carolina",295032,142817,152215,68466,34504,33962,66741,29652,37089,39.0,93.8,64.1,26.0,38.1,"Lexington County, South Carolina",45063,23.20629626616774,22.62161392662491,45063,556.0,3.0
176,0500000US47119,"Maury County, Tennessee",94340,46156,48184,22116,11845,10271,20713,9617,11096,38.6,95.8,64.1,25.6,38.5,"Maury County, Tennessee",47119,23.442866228535088,21.955692177231292,47119,255.0,1.0
177,0500000US47189,"Wilson County, Tennessee",140625,69200,71425,33657,17933,15724,31831,14217,17614,40.5,96.9,66.5,26.6,39.8,"Wilson County, Tennessee",47189,23.933866666666667,22.635377777777776,47189,245.0,1.0
178,0500000US48203,"Harrison County, Texas",66726,32233,34493,16892,8337,8555,15607,7196,8411,37.9,93.4,71.3,27.9,43.4,"Harrison County, Texas",48203,25.31546923238318,23.38968318196805,48203,149.0,1.0
179,0500000US51041,"Chesterfield County, Virginia",348556,168655,179901,82720,43409,39311,74491,33994,40497,39.0,93.7,63.0,24.3,38.7,"Chesterfield County, Virginia",51041,23.732197982533656,21.371314795900805,51041,466.0,4.0
180,0500000US55131,"Washington County, Wisconsin",135693,67090,68603,29755,14707,15048,34701,16407,18294,43.3,97.8,66.3,29.9,36.5,"Washington County, Wisconsin",55131,21.928176103409903,25.573168844376642,55131,141.0,2.0
181,0500000US09003,"Hartford County, Connecticut",892697,434366,458331,187303,95536,91767,211880,92487,119393,40.3,94.8,61.5,27.6,33.9,"Hartford County, Connecticut",09003,20.98169927758243,23.734817076790893,09003,2980.0,9.0
182,0500000US12033,"Escambia County, Florida",315534,156997,158537,65783,34412,31371,74701,33346,41355,38.1,99.0,60.4,26.9,33.4,"Escambia County, Florida",12033,20.848149486267726,23.67446931234035,12033,1310.0,7.0
183,0500000US18039,"Elkhart County, Indiana",205560,101432,104128,56622,28676,27946,41493,18193,23300,35.5,97.4,72.4,24.9,47.5,"Elkhart County, Indiana",18039,27.545242265032105,20.185347343841215,18039,406.0,3.0
184,0500000US18109,"Morgan County, Indiana",70116,34971,35145,16262,8603,7659,16282,7767,8515,41.4,99.5,66.5,27.9,38.6,"Morgan County, Indiana",18109,23.192994466312967,23.221518626276456,18109,207.0,2.0
185,0500000US19049,"Dallas County, Iowa",90180,44132,46048,25588,12997,12591,13977,6126,7851,35.0,95.8,67.3,19.8,47.5,"Dallas County, Iowa",19049,28.374362386338436,15.499001996007983,19049,25.0,1.0
186,0500000US23011,"Kennebec County, Maine",122083,59257,62826,23001,11463,11538,34835,16126,18709,44.4,94.3,64.5,33.5,31.0,"Kennebec County, Maine",23011,18.840460997845728,28.53386630407182,23011,773.0,6.0
187,0500000US26049,"Genesee County, Michigan",406892,195968,210924,91553,46785,44768,100363,44800,55563,40.9,92.9,66.6,29.1,37.5,"Genesee County, Michigan",26049,22.500565260560542,24.665758972896985,26049,1169.0,4.0
188,0500000US26087,"Lapeer County, Michigan",88028,44782,43246,18300,9611,8689,23458,11171,12287,44.7,103.6,63.7,29.7,34.0,"Lapeer County, Michigan",26087,20.788839914572634,26.648339164811198,26087,183.0,1.0
189,0500000US26145,"Saginaw County, Michigan",190800,93393,97407,40848,21454,19394,49620,22599,27021,40.9,95.9,68.6,32.5,36.1,"Saginaw County, Michigan",26145,21.40880503144654,26.0062893081761,26145,968.0,6.0
190,0500000US30013,"Cascade County, Montana",81643,41630,40013,17900,9608,8292,21369,10145,11224,37.7,104.0,67.5,30.8,36.7,"Cascade County, Montana",30013,21.924721041607974,26.173707482576585,30013,436.0,3.0
191,0500000US32003,"Clark County, Nevada",2231647,1112618,1119029,517629,264050,253579,455810,214763,241047,37.6,99.4,61.1,23.7,37.4,"Clark County, Nevada",32003,23.194931814933096,20.424825252380867,32003,5467.0,33.0
192,0500000US36007,"Broome County, New York",191659,93150,98509,36745,18405,18340,50916,22735,28181,40.2,94.6,62.3,31.1,31.1,"Broome County, New York",36007,19.172071230675314,26.565932202505493,36007,742.0,3.0
193,0500000US36027,"Dutchess County, New York",293718,146156,147562,55347,28238,27109,73499,34164,39335,42.5,99.0,57.2,27.6,29.6,"Dutchess County, New York",36027,18.843584662839866,25.02366215213232,36027,676.0,3.0
194,0500000US37023,"Burke County, North Carolina",90382,45015,45367,17172,9111,8061,25163,11463,13700,44.4,99.2,63.8,32.7,31.1,"Burke County, North Carolina",37023,18.9993582793034,27.84072049744418,37023,446.0,2.0
195,0500000US37035,"Catawba County, North Carolina",158652,76611,82041,35042,17056,17986,38987,17914,21073,41.3,93.4,66.0,29.3,36.7,"Catawba County, North Carolina",37035,22.087335804149962,24.57391019337922,37035,613.0,2.0
196,0500000US37125,"Moore County, North Carolina",98682,48150,50532,20853,11170,9683,31121,14308,16813,45.5,95.3,81.9,43.5,38.4,"Moore County, North Carolina",37125,21.13151334589895,31.536653087695832,37125,372.0,1.0
197,0500000US39009,"Athens County, Ohio",65818,33319,32499,9575,5454,4121,12145,5652,6493,30.1,102.5,38.3,18.1,20.1,"Athens County, Ohio",39009,14.547692120696464,18.452399039776353,39009,245.0,3.0
198,0500000US39023,"Clark County, Ohio",134585,65014,69571,30121,15437,14684,35238,16052,19186,41.5,93.4,71.4,33.1,38.4,"Clark County, Ohio",39023,22.380651632797115,26.1827098116432,39023,294.0,3.0
199,0500000US39099,"Mahoning County, Ohio",229642,113227,116415,46144,24007,22137,67101,30516,36585,43.3,97.3,69.7,35.6,34.1,"Mahoning County, Ohio",39099,20.093885264890567,29.21982912533422,39099,1495.0,9.0
200,0500000US45051,"Horry County, South Carolina",344147,166682,177465,61592,32312,29280,111519,50639,60880,46.3,93.9,72.7,41.8,30.9,"Horry County, South Carolina",45051,17.89700331544369,32.40446669591773,45051,753.0,5.0
201,0500000US47093,"Knox County, Tennessee",465289,225264,240025,97541,49449,48092,100827,45231,55596,37.4,93.9,58.0,24.9,33.1,"Knox County, Tennessee",47093,20.96353019306281,21.66975793539069,47093,2155.0,10.0
202,0500000US51061,"Fauquier County, Virginia",70675,34514,36161,16608,8340,8268,16654,7425,9229,40.6,95.4,67.7,28.3,39.4,"Fauquier County, Virginia",51061,23.499115670321896,23.564202334630348,51061,97.0,1.0
203,0500000US01069,"Houston County, Alabama",104722,50400,54322,24121,12580,11541,25810,11362,14448,40.2,92.8,69.4,30.4,39.0,"Houston County, Alabama",01069,23.033364527033477,24.646206145795535,01069,782.0,5.0
204,0500000US06083,"Santa Barbara County, California",446527,223408,223119,99331,50580,48751,93302,43560,49742,34.0,100.1,60.2,24.5,35.6,"Santa Barbara County, California",06083,22.245239369623786,20.895041061346795,06083,1054.0,9.0
205,0500000US10003,"New Castle County, Delaware",559335,271116,288219,120253,60877,59376,123061,54609,68452,38.4,94.1,58.9,24.7,34.2,"New Castle County, Delaware",10003,21.49928039546962,22.001305121260067,10003,2016.0,9.0
206,0500000US12113,"Santa Rosa County, Florida",179349,91848,87501,39294,20764,18530,42617,19938,22679,40.0,105.0,60.7,25.5,35.2,"Santa Rosa County, Florida",12113,21.909238412257665,23.762050527184428,12113,385.0,5.0
208,0500000US20091,"Johnson County, Kansas",597555,294084,303471,145641,74870,70771,123222,55486,67736,37.8,96.9,63.5,23.7,39.9,"Johnson County, Kansas",20091,24.372819238396463,20.621030700102917,20091,1611.0,16.0
209,0500000US25017,"Middlesex County, Massachusetts",1614714,790337,824377,318633,162943,155690,344801,153590,191211,38.4,95.9,53.8,23.4,30.3,"Middlesex County, Massachusetts",25017,19.733092052214822,21.353688640836705,25017,4150.0,23.0
210,0500000US25025,"Suffolk County, Massachusetts",807252,390462,416790,133658,67700,65958,136676,59203,77473,32.9,93.7,40.0,16.8,23.2,"Suffolk County, Massachusetts",25025,16.557159350487826,16.931020300971692,25025,6162.0,22.0
211,0500000US26055,"Grand Traverse County, Michigan",92573,46141,46432,18916,10166,8750,25248,11678,13570,42.6,99.4,67.5,33.2,34.2,"Grand Traverse County, Michigan",26055,20.433603750553615,27.273611096107935,26055,377.0,1.0
212,0500000US27137,"St. Louis County, Minnesota",199754,99837,99917,38011,19417,18594,53978,25375,28603,40.9,99.9,62.2,31.3,30.9,"St. Louis County, Minnesota",27137,19.028905553831212,27.02223735194289,27137,1125.0,8.0
213,0500000US31153,"Sarpy County, Nebraska",184459,92342,92117,50553,25645,24908,31617,14897,16720,34.7,100.2,65.1,19.8,45.2,"Sarpy County, Nebraska",31153,27.40609024227606,17.140394342374186,31153,208.0,3.0
214,0500000US33011,"Hillsborough County, New Hampshire",415247,205664,209583,84981,42811,42170,94446,43075,51371,41.1,98.1,56.5,24.4,32.0,"Hillsborough County, New Hampshire",33011,20.46516892355634,22.744535180266205,33011,1164.0,9.0
215,0500000US34017,"Hudson County, New Jersey",676061,336097,339964,138221,69807,68414,116561,51798,64763,35.3,98.9,47.6,17.5,30.2,"Hudson County, New Jersey",34017,20.445048597685712,17.241195690921383,34017,1878.0,7.0
216,0500000US37025,"Cabarrus County, North Carolina",211342,103559,107783,54217,28954,25263,38515,16802,21713,37.6,96.1,63.9,21.9,42.1,"Cabarrus County, North Carolina",37025,25.653679817546916,18.224016049814992,37025,497.0,2.0
217,0500000US38015,"Burleigh County, North Dakota",95273,48205,47068,21684,11428,10256,20530,9322,11208,37.4,102.4,63.0,25.9,37.1,"Burleigh County, North Dakota",38015,22.759858511855406,21.548602437206764,38015,510.0,2.0
218,0500000US39085,"Lake County, Ohio",230514,113126,117388,46210,24014,22196,64958,29310,35648,44.2,96.4,67.1,33.6,33.5,"Lake County, Ohio",39085,20.046504767606304,28.17963334114197,39085,561.0,3.0
219,0500000US39153,"Summit County, Ohio",541918,263355,278563,113126,57449,55677,137357,61891,75466,41.0,94.5,63.6,29.4,34.1,"Summit County, Ohio",39153,20.875113947128533,25.34645462966722,39153,2819.0,11.0
220,0500000US40037,"Creek County, Oklahoma",71604,35373,36231,17062,8791,8271,16957,7859,9098,40.2,97.6,70.0,29.5,40.5,"Creek County, Oklahoma",40037,23.82827774984638,23.681637897324173,40037,95.0,3.0
221,0500000US41039,"Lane County, Oregon",379611,186890,192721,69901,36126,33775,100037,45141,54896,39.5,97.0,60.8,31.2,29.6,"Lane County, Oregon",41039,18.413849967466696,26.352502956974377,41039,531.0,4.0
222,0500000US42001,"Adams County, Pennsylvania",102811,50601,52210,21167,11032,10135,28105,13144,14961,43.8,96.9,68.5,33.8,34.7,"Adams County, Pennsylvania",42001,20.588263901722577,27.336569044168424,42001,76.0,1.0
223,0500000US42041,"Cumberland County, Pennsylvania",251423,124461,126962,50809,26300,24509,62998,27931,35067,40.7,98.0,63.4,30.4,33.0,"Cumberland County, Pennsylvania",42041,20.2085728036019,25.056577958261578,42041,658.0,5.0
224,0500000US47065,"Hamilton County, Tennessee",364286,175428,188858,75764,38859,36905,88656,39274,49382,39.7,92.9,62.0,28.3,33.7,"Hamilton County, Tennessee",47065,20.797944472200413,24.33692208868856,47065,1889.0,13.0
225,0500000US47179,"Washington County, Tennessee",128607,62989,65618,24055,12392,11663,31895,13922,17973,40.7,96.0,58.7,29.0,29.7,"Washington County, Tennessee",47179,18.704269596522742,24.80036078907058,47179,1003.0,7.0
226,0500000US49005,"Cache County, Utah",127068,63636,63432,38648,19556,19092,16445,8115,8330,25.4,100.3,65.3,15.0,50.3,"Cache County, Utah",49005,30.415210753297444,12.941889382063149,49005,150.0,2.0
227,0500000US53015,"Cowlitz County, Washington",108987,53593,55394,25393,12666,12727,29096,13701,15395,40.5,96.7,73.7,33.2,40.5,"Cowlitz County, Washington",53015,23.299109068053987,26.696761999137514,53015,202.0,1.0
228,0500000US54081,"Raleigh County, West Virginia",74254,37430,36824,15716,8191,7525,21307,9992,11315,41.8,101.6,72.5,36.0,36.5,"Raleigh County, West Virginia",54081,21.165189754087322,28.694750451154142,54081,473.0,2.0
229,0500000US01103,"Morgan County, Alabama",119089,59216,59873,27098,14815,12283,28985,12815,16170,40.7,98.9,66.5,28.6,37.9,"Morgan County, Alabama",01103,22.75441056688695,24.338939784530897,01103,476.0,4.0
230,0500000US06031,"Kings County, California",151366,83591,67775,40773,20914,19859,20951,9771,11180,32.0,123.3,59.0,16.2,42.8,"Kings County, California",06031,26.936696484018867,13.841285361309675,06031,223.0,3.0
231,0500000US06089,"Shasta County, California",180040,88679,91361,38584,19980,18604,50818,23764,27054,41.5,97.1,72.4,35.5,36.9,"Shasta County, California",06089,21.430793157076206,28.225949788935793,06089,763.0,7.0
232,0500000US12073,"Leon County, Florida",292502,138408,154094,54454,27578,26876,55739,24868,30871,31.3,89.8,46.9,19.5,27.3,"Leon County, Florida",12073,18.616624843590813,19.05593807905587,12073,1208.0,5.0
233,0500000US12103,"Pinellas County, Florida",975280,467767,507513,157685,80425,77260,321328,145587,175741,48.5,92.2,69.4,42.0,27.4,"Pinellas County, Florida",12103,16.168177343942254,32.947256172586336,12103,4229.0,18.0
235,0500000US26017,"Bay County, Michigan",103923,51291,52632,21083,10538,10545,29916,13792,16124,43.3,97.5,67.7,33.6,34.0,"Bay County, Michigan",26017,20.28713566775401,28.78669784359574,26017,389.0,3.0
236,0500000US26159,"Van Buren County, Michigan",75448,37805,37643,17288,9092,8196,19265,8983,10282,42.2,100.4,71.2,32.0,39.2,"Van Buren County, Michigan",26159,22.913794931608525,25.534142720814334,26159,84.0,2.0
237,0500000US32031,"Washoe County, Nevada",465735,234654,231081,100775,51832,48943,109326,53133,56193,38.4,101.5,61.3,26.4,34.9,"Washoe County, Nevada",32031,21.637841261661674,23.473863892556928,32031,1690.0,12.0
238,0500000US33013,"Merrimack County, New Hampshire",151132,74012,77120,28595,13807,14788,39911,17982,21929,43.4,96.0,60.6,30.2,30.4,"Merrimack County, New Hampshire",33013,18.920546277426357,26.408040653203823,33013,395.0,4.0
239,0500000US39045,"Fairfield County, Ohio",155782,77951,77831,37178,19133,18045,34397,15414,18983,39.9,100.2,65.9,26.3,39.6,"Fairfield County, Ohio",39045,23.86540165102515,22.080214658946478,39045,255.0,2.0
240,0500000US45041,"Florence County, South Carolina",138159,63556,74603,32696,16185,16511,32156,14083,18073,38.3,85.2,68.4,28.5,39.8,"Florence County, South Carolina",45041,23.665486866581258,23.274632850556245,45041,1025.0,7.0
241,0500000US48005,"Angelina County, Texas",87092,42997,44095,22101,11958,10143,19192,9396,9796,38.9,97.5,70.5,27.2,43.3,"Angelina County, Texas",48005,25.376613236577413,22.03646718412713,48005,470.0,4.0
242,0500000US53057,"Skagit County, Washington",128206,63062,65144,27977,14029,13948,35896,17008,18888,41.4,96.8,74.2,36.2,38.0,"Skagit County, Washington",53057,21.821911611001045,27.99868960891066,53057,205.0,3.0
243,0500000US53067,"Thurston County, Washington",286419,139657,146762,61381,31231,30150,68690,30789,37901,38.8,95.2,62.9,28.0,34.9,"Thurston County, Washington",53067,21.430491692241088,23.9823475397931,53067,474.0,2.0
244,0500000US54039,"Kanawha County, West Virginia",180454,87033,93421,35252,18421,16831,50946,22661,28285,44.0,93.2,67.8,35.0,32.8,"Kanawha County, West Virginia",54039,19.53517239850599,28.232125638666915,54039,763.0,5.0
245,0500000US55025,"Dane County, Wisconsin",542364,268975,273389,110871,56083,54788,104990,47932,57058,35.3,98.4,52.1,21.0,31.1,"Dane County, Wisconsin",55025,20.442175365621612,19.357848234764845,55025,2073.0,8.0
246,0500000US01097,"Mobile County, Alabama",413757,197009,216748,96777,49296,47481,92616,40934,51682,38.1,90.9,65.2,26.6,38.6,"Mobile County, Alabama",01097,23.389815761425183,22.384153017350762,01097,1929.0,7.0
247,0500000US06013,"Contra Costa County, California",1150215,562983,587232,259788,133128,126660,253902,114568,139334,40.0,95.9,62.2,25.6,36.6,"Contra Costa County, California",06013,22.586038262411808,22.07430784679386,06013,1993.0,11.0
248,0500000US12083,"Marion County, Florida",359977,171353,188624,65788,32524,33264,129048,59627,69421,49.1,90.8,89.3,54.7,34.6,"Marion County, Florida",12083,18.275612052992273,35.84895701669829,12083,919.0,7.0
249,0500000US12091,"Okaloosa County, Florida",207269,104314,102955,46397,23239,23158,46296,20969,25327,36.8,101.3,63.5,26.9,36.6,"Okaloosa County, Florida",12091,22.38492007970319,22.336191133261607,12091,673.0,5.0
250,0500000US12117,"Seminole County, Florida",467832,225955,241877,98391,49907,48484,103082,46361,56721,39.2,93.4,57.7,24.5,33.2,"Seminole County, Florida",12117,21.031267634535475,22.033978009199885,12117,965.0,5.0
